"species","repetition","cultivar","yc","zc","s1","Tu","theta_c","tau","pie_c","Tf","Tb","slope"
"Apricot","8","Pepito del Rubio",46.2649328,108.3779809,0.6165675,18.8134524,286.3760745,42.7225124,26.3127183,2.6042642,9.0172647,2.1611117
"Apricot","8","Stark E. Orange",41.4051508,166.823521,0.2418726,20.0496861,286.4476898,45.1171557,25.8962799,2.9748255,7.8025925,2.3142624
"Apricot","8","Sunglo",39.126366,257.609677,0.2236928,22.1822266,285.7904101,38.6501853,31.7149625,2.4166743,3.7662826,4.0988179
"Apricot","8","Mitger",35.3226142,213.0474597,0.4648652,25.8007781,285.6490366,46.1363904,29.8772536,2.539171,2.3562663,2.6303429
"Apricot","8","Henderson",35.0676289,204.5175222,0.4837831,23.4598317,285.7277856,36.829076,29.8258,3.8189366,6.230407,2.3599921
"Apricot","8","Pandora",39.6596242,213.1977528,0.2339044,20.2851068,285.0723337,41.2301727,33.8239369,2.3643176,3.5839839,1.6016805
"Apricot","8","Veecot",29.8941233,156.2978449,0.9226445,20.6679955,284.1097492,46.0292017,42.2444809,5.8479718,5.6875215,3.0568102
"Apricot","8","Tadeo",37.0679961,108.7221904,0.2944511,28.6516607,284.5593263,43.1275123,33.9445207,2.7398808,5.0875544,3.8283317
"Apricot","8","Harcot",30.0593932,273.4299525,0.2452819,21.8985988,284.4558091,36.7932115,35.3711138,3.3170914,3.6085372,3.7603743
"Apricot","9","Búlida",35.1806728,281.269211,0.1518829,21.3598979,284.9337276,43.8490922,24.83928,2.4207711,2.5534512,1.6645541
"Apricot","9","Canino",28.6885626,490.6674742,0.1387519,15.3748102,286.54762,44.7432968,25.7322994,2.8274939,2.0828602,3.4058594
"Apricot","9","Dorada",42.1815658,157.7578961,0.9948474,24.2386498,286.0789516,42.7516697,26.4892817,5.6811132,6.9644253,2.8448161
"Apricot","9","Goldrich",47.5339316,152.6449732,0.1233949,20.5663204,286.8140234,45.9201731,28.2470498,2.0560758,2.8042457,1.7607843
"Apricot","9","Pepito del Rubio",34.8334722,136.5961762,0.1598338,20.071414,284.3182402,46.6879228,28.1149636,3.5642394,6.7600187,4.6390985
"Apricot","9","Stark E. Orange",48.7358055,266.4882415,0.7886555,19.9749585,285.9407888,40.0408019,31.6368675,3.5834781,3.3013045,4.6553847
"Apricot","9","Sunglo",39.4719189,211.4491429,0.9677269,26.9106632,286.4978871,47.0532823,33.7271849,2.1377143,2.1086493,1.3334423
"Apricot","9","Mitger",37.5160514,228.9238157,0.5574999,22.0765297,286.0686268,40.0182616,31.9620232,4.942124,4.2603957,3.4605876
"Apricot","9","Henderson",50.287634,232.393465,1,21.440205,284.275078,35.770312,35.763396,3.187933,3.74956,3.180243
"Apricot","9","Pandora",39.6211557,182.2589679,0.2903776,19.5914094,285.6884533,40.3306258,30.2438253,3.6314801,5.9195414,4.8671175
"Apricot","9","Veecot",38.4860653,264.6431546,0.6570548,20.7604241,286.3088497,41.1554172,31.6964695,4.6483771,3.1121716,3.5192908
"Apricot","9","Tadeo",34.8266647,266.8304376,0.8565954,16.5808413,284.4132214,44.8707978,31.8517334,4.5106702,5.2218842,2.8217364
"Apricot","9","Harcot",31.816936,231.685702,0.338843,16.935665,286.294736,44.043524,35.927419,6.975913,7.306784,3.153895
"Apricot","10","Búlida",37.612122,274.215849,0.101349,26.286917,284.11394,29.431713,24.210923,3.729422,2.014801,1.832003
"Apricot","10","Canino",30.1390661,144.9258998,0.1672453,18.6562962,285.2735634,47.9046513,35.0328494,4.2536196,7.5714039,4.5061398
"Apricot","10","Dorada",42.4597299,353.9720538,0.1576658,21.7012438,286.3299053,39.429261,24.1246481,5.9697295,2.4402856,4.699499
"Apricot","10","Goldrich",53.4486418,117.1818563,0.1061665,28.5781603,284.0672398,29.3181985,27.011618,2.0428596,3.2317294,4.8463894
"Apricot","10","Pepito del Rubio",43.047361,176.293818,0.1878473,23.988771,285.1042714,34.8865753,29.086814,4.8126231,3.9910536,3.5050441
"Apricot","10","Stark E. Orange",40.5200898,221.3371763,0.8178593,19.2734878,286.2592288,44.4777406,33.6638832,7.0732109,5.8186857,3.7801592
"Apricot","10","Sunglo",33.155736,181.779581,0.484568,21.769526,286.314796,43.932227,24.092194,2.561074,7.432114,2.269634
"Apricot","10","Mitger",33.3867557,255.4476556,0.5670735,19.6724926,286.2158217,46.3388609,34.6594005,3.782009,4.6889319,1.8637768
"Apricot","10","Henderson",43.9584881,245.7837618,0.4966476,18.5764755,284.5494838,38.638973,37.5569042,4.0270354,5.2549998,4.0086764
"Apricot","10","Pandora",33.9317797,217.1972031,0.1716811,21.4774816,284.1192025,38.0474557,28.2759419,3.7635027,3.7631703,4.7053897
"Apricot","10","Veecot",44.9435029,192.5163871,0.5113434,18.8591256,286.0644139,37.544882,29.3662655,3.8823325,5.9919659,1.6287033
"Apricot","10","Tadeo",30.5093651,375.9106618,0.2760392,18.880472,285.3103624,41.3688889,38.2419611,2.0696194,3.1339415,4.4491284
"Apricot","10","Harcot",26.8886893,211.6392427,0.4134231,23.505741,284.411594,43.2387913,30.5809176,4.2485521,4.4789334,2.7039006
"Apple","1","Berlepsch",68.372123,254.478495,1,24.657508,286.699433,41.363015,27.119029,2.64229,2.964349,1.27942
"Apple","1","Braeburn",57.1879748,337.9588772,0.1322367,21.4257003,286.5658501,47.4214437,25.793431,2.2712636,2.05,3.6389225
"Apple","1","Cox Orange",51.6491772,433.6953989,0.9971875,18.9474917,284.0628945,46.2974215,44.4992495,2,2.3880306,1.3408374
"Apple","1","Elstar",65.7019214,406.9280315,0.7636677,18.412122,286.6290705,41.2926816,31.2947868,2.0085642,4.0065292,1.239376
"Apple","1","Golden Delicious",41.1204953,271.1794112,0.1001568,26.73065,285.1473833,44.092322,24.5169017,3.1272653,2.0203452,1.4677338
"Apple","1","James Grieve",53.5765805,204.5983192,0.4170867,21.309428,286.00665,45.197455,25.5426155,5.1002815,5.7752772,3.2942174
"Apple","1","Jonagold",54.341124,223.4766072,0.9649029,29.7464412,285.6130796,43.4940533,39.1090371,2.1221432,2.2473202,1.2003164
"Apple","1","Roter Boskoop",51.1812524,292.0641291,0.3596838,25.5141373,286.6012971,39.9098952,31.5286208,2.0111056,2.4635281,1.3680287
"Apple","1","Topaz",62.3401315,287.9835664,0.7463236,16.7908317,286.0833303,41.2391771,33.7521148,5.1215762,6.1011755,1.6773594
"Apple","2","Berlepsch",56.895821,307.263874,1,19.194533,286.488013,47.850298,33.570663,3.867196,4.326065,1.995306
"Apple","2","Braeburn",59.0967475,328.4091079,0.8391422,24.9523924,285.9065555,40.1530092,34.3098999,2.0490431,2.0187079,1.3189565
"Apple","2","Cox Orange",79.742188,339.199025,1,15.16626,284.001172,24.738017,25.277516,2,7.334216,1.466144
"Apple","2","Elstar",60.0729214,247.6887673,0.9912225,25.4953832,286.2235591,40.1665395,36.7939965,2.6556339,3.6639355,4.7134346
"Apple","2","Golden Delicious",44.1979599,362.372147,0.1171847,24.0131586,286.6936881,42.9788738,27.9156258,2.0816695,2.0845113,4.6727272
"Apple","2","James Grieve",42.308343,190.420095,1,19.221492,286.164147,38.159536,26.952772,4.690456,7.974722,1.293809
"Apple","2","Jonagold",55.5839072,437.0659421,0.9694669,16.8920144,286.3272976,44.1333066,39.9739834,2.0813286,4.4302614,4.5945932
"Apple","2","Roter Boskoop",48.4993819,236.2250643,0.1022319,18.5884672,284.5775539,33.7370803,31.5947095,2.7467546,6.4580379,1.3050172
"Apple","2","Topaz",20.6324424,384.5732819,0.9994737,15.5301105,284.9709022,36.8817154,25.8931426,5.4826375,7.4500571,1.5613745
"Apple","3","Berlepsch",61.4830536,215.9839764,0.9918228,28.9392163,286.2522439,46.8487131,42.8315367,2.27167,2.0044747,4.760828
"Apple","3","Braeburn",63.498831,358.14501,1,23.791476,286.019041,39.033489,34.397237,2.01691,2.01608,2.052174
"Apple","3","Cox Orange",54.937123,360.072722,1,18.518278,285.657052,46.619438,28.633645,3.834545,3.954937,2.94892
"Apple","3","Elstar",20.0070066,382.4051066,0.9858994,15.3014912,286.4047719,27.9241826,24.184507,7.6088483,9.9890671,5
"Apple","3","Golden Delicious",42.681557,435.044052,0.100019,21.731524,286.572195,41.613308,26.760135,2.349898,2.011629,4.82505
"Apple","3","James Grieve",35.3797104,279.6672543,0.7757868,25.2266371,285.4736788,40.4845865,37.8610281,4.6288453,2.9230333,2.1711725
"Apple","3","Jonagold",60.4343777,329.9298267,0.9845688,22.6145137,286.2886344,43.0304958,38.6201391,2.0904557,2.677678,1.2334854
"Apple","3","Roter Boskoop",58.7831817,251.286027,0.2668531,20.5873629,285.4416709,42.2979921,36.1402389,2.9310758,4.8709995,2.5112773
"Apple","3","Topaz",57.778103,183.8232444,0.1380193,30,285.1083729,40.2376051,39.8811333,5.5372516,2.0298251,1.8079737
"Apple","4","Berlepsch",61.1375139,328.5662591,0.3717996,19.9466633,285.4884257,43.4851264,37.3638144,2.5510543,3.4671361,1.9416539
"Apple","4","Braeburn",69.3212525,261.4661509,0.1202044,21.6046373,286.201144,47.7398835,42.6056363,2.206982,2.1987346,1.2005462
"Apple","4","Cox Orange",43.553326,255.3963391,0.9560411,24.3902732,285.2373119,47.3587736,40.4948525,2.5604806,3.9732578,3.4659632
"Apple","4","Elstar",20,388.4362182,0.9849347,15.0064108,286.4210901,29.4907308,24.3522046,7.6250802,9.9883524,4.6843147
"Apple","4","Golden Delicious",42.3029916,228.6631912,0.1013648,29.0418781,286.782213,47.798703,29.9924594,2.3816076,2.2525039,2.8210732
"Apple","4","James Grieve",56.1405808,286.4042224,0.4585094,22.180492,286.1286421,31.080922,27.1219645,2.1601304,3.9960066,1.4068112
"Apple","4","Jonagold",54.3735367,327.8601444,0.5872749,22.2985448,286.2072233,47.9291314,43.2170216,2.1062962,2.817414,1.2193742
"Apple","4","Roter Boskoop",58.8342978,294.6792031,0.1783176,22.0656444,286.0555033,44.6691138,35.3352924,2.1512181,2.8682995,1.727566
"Apple","4","Topaz",20,188.743898,0.140702,27.517629,284.509003,45.084125,39.374846,2,4.821876,1.244267
"Apple","5","Berlepsch",68.8495128,410.9094119,0.9948466,19.9733271,286.074204,39.1904937,31.3035617,2.3739632,2.0013733,2.4378717
"Apple","5","Braeburn",63.572981,325.058098,0.975663,25.107984,286.486576,36.521736,29.782772,3.884606,2,1.287855
"Apple","5","Cox Orange",40.6052372,313.2483977,0.8661669,22.5503699,284.282687,45.7016222,45.2512924,2.1402124,3.5608231,1.3929657
"Apple","5","Elstar",20,209.2055857,0.7613328,18.8176834,286.5237803,39.4309225,25.8274608,2.5103215,9.5900162,4.4529215
"Apple","5","Golden Delicious",43.8293647,269.2173105,0.1031801,22.9351349,286.9152573,45.7048715,24.6593924,5.6128828,3.5518537,2.8789496
"Apple","5","James Grieve",41.0251947,182.0485109,0.9854326,21.7930546,286.5121457,43.2674484,35.3720393,2.5346099,6.7859898,3.4413824
"Apple","5","Jonagold",64.48085,428.6188615,0.6937904,15.0620673,286.3016673,40.1957923,31.9826788,2.1295452,5.491892,1.2238427
"Apple","5","Roter Boskoop",35.8716862,278.481376,0.9258432,18.5858254,286.3579045,47.8515171,30.4749481,2.3277759,6.3119827,1.6623309
"Apple","5","Topaz",20.0428225,303.3846495,0.2422121,23.825092,286.1906009,35.1029801,24.4017618,6.6767919,5.0641392,1.2065
"Apple","6","Berlepsch",64.421059,323.106767,1,21.323055,286.718727,43.732084,24.767248,3.145002,2.973415,1.238723
"Apple","6","Braeburn",67.2801657,493.1198124,0.9138388,19.6182217,286.6881463,37.7336367,27.4155965,2.0720127,2.030961,1.538274
"Apple","6","Cox Orange",51.8624328,356.8512115,0.9984157,16.8346222,284.0229498,35.4421548,35.5808279,2.2456286,5.9818919,3.7250091
"Apple","6","Elstar",68.8192086,263.8928159,0.8546963,25.6844332,285.582109,34.6652656,32.8878425,2.2862088,2.9522011,1.2011273
"Apple","6","Golden Delicious",44.5213844,244.1490017,0.1000266,24.5222525,286.6787836,47.96552,25.5750086,2.6947561,3.6301427,1.2000106
"Apple","6","James Grieve",52.8951736,219.1083268,0.8913333,25.3206968,286.0705252,29.4997561,25.019349,2.6501848,4.2636299,2.746335
"Apple","6","Jonagold",61.6513601,367.905676,0.4671909,19.6259168,286.0271928,41.1572006,37.6330224,2.7656792,3.5043386,1.214099
"Apple","6","Roter Boskoop",60.4628546,289.8908697,0.8715429,24.631674,286.6992853,45.8264709,26.6139727,2.1181443,2.0440967,1.2404206
"Apple","6","Topaz",20.005715,371.259646,0.10028,20.885403,286.405311,32.163654,28.93675,3.455928,4.797436,2.651031
"Apple","7","Berlepsch",62.1266082,384.9650134,0.7486013,19.8725037,286.5741859,47.0087597,35.5223292,2.5603817,2.6039647,1.4187596
"Apple","7","Braeburn",56.8484947,330.2019426,0.9745678,25.254808,284.7695397,35.0432359,33.9360649,3.312866,2.0124293,1.2061918
"Apple","7","Cox Orange",38.4460689,301.7125812,0.4694815,19.5838398,285.331452,45.145038,41.5994047,2.4397695,5.5191539,1.3143786
"Apple","7","Elstar",20,117.937873,0.955,27.699208,286.160896,39.795752,34.644233,3.066475,8.57007,2.719412
"Apple","7","Golden Delicious",40.9393498,388.1343125,0.1011269,22.569934,286.7332212,47.9626691,25.7743228,2.6838552,2.0016069,1.5002299
"Apple","7","James Grieve",49.7688279,173.1719088,0.9278632,29.1856851,286.3046005,34.2951555,29.6086346,3.0769187,3.9818701,1.251729
"Apple","7","Jonagold",58.846834,437.568587,0.922529,15.137483,285.128933,37.994482,28.646083,2.123516,5.330696,1.23732
"Apple","7","Roter Boskoop",51.8142575,270.5821878,0.9595346,19.2946966,286.1781896,30.8182916,26.9431492,2.2651064,6.138841,2.6938854
"Apple","7","Topaz",20,114.923628,0.1,30,285.927053,43.620976,40.358355,2.924119,6.456158,1.257189
"Apple","8","Berlepsch",61.8419368,339.5204905,0.9921772,22.1446952,285.9252748,45.886576,41.7515963,2.5228511,2.0987136,1.8186713
"Apple","8","Braeburn",47.042845,228.7495933,0.9703152,29.6688484,284.3585974,46.1608516,30.2482692,2.3175374,2.1220628,1.2037206
