"Cultivar","GCM","SSP","Time","earliest_bloom","median_bloom","latest_bloom","mean_frost0","mean_frost2.2","mean_Tmean","mean_Tmin","mean_Tmax","frost0_5plus","frost0_1plus","frost2.2_5plus","frost2.2_1plus"
"Bing","HadGEM3-GC31-MM","SSP5","2050",88,108,126,1.27272727272727,0.383838383838384,13.8741440924396,1.63868686868687,26.3064646464646,9,4,24,6
"Bing","INM-CM4-8","SSP5","2050",87,106,124,1.83838383838384,0.555555555555556,12.8234408478727,1.1889898989899,24.7135353535354,14,5,30,10
"Bing","INM-CM5-0","SSP5","2050",84,105,123,2.92929292929293,1.09090909090909,12.5511256504438,0.623838383838384,24.429898989899,18,7,34,13
"Bing","IPSL-CM6A-LR","SSP5","2050",85,106,124,2.04040404040404,0.646464646464647,12.6718296602388,1.17292929292929,24.2978787878788,12,4,27,8
"Bing","MIROC6","SSP5","2050",84,104,121,3.26262626262626,1.22222222222222,12.6894612794613,0.722020202020202,25.1007070707071,20,10,32,16
"Bing","MPI-ESM1-2-LR","SSP5","2050",84,106,125,2.88888888888889,0.878787878787879,11.9016647535966,0.601818181818182,23.3377777777778,18,5,40,15
"Bing","MRI-ESM2-0","SSP5","2050",85,105,122,2.34343434343434,0.828282828282828,12.941753902663,0.813535353535354,25.2243434343434,14,6,35,12
"Bing","NESM3","SSP5","2050",89,109,128,0.919191919191919,0.252525252525253,14.2003531527395,2.62050505050505,26.1828282828283,8,3,16,6
"Bing","ACCESS-CM2","SSP1","2085",85,108,128,1.36363636363636,0.282828282828283,13.2789271502908,1.46686868686869,25.4639393939394,10,2,29,5
"Bing","AWI-CM-1-1-MR","SSP1","2085",84,105,122,1.80808080808081,0.696969696969697,12.7857541322314,1.55252525252525,24.1985858585859,14,5,22,11
"Bing","CIESM","SSP1","2085",93,110,126,7.07070707070707,2.76767676767677,12.5787488521579,-2.07727272727273,27.3383838383838,50,20,74,48
"Bing","CMCC-ESM2","SSP1","2085",85,107,131,1.90909090909091,0.585858585858586,13.5438001224365,1.38494949494949,25.799898989899,11,4,30,6
"Bing","CNRM-CM6-1-HR","SSP1","2085",82,105,126,2.80808080808081,0.818181818181818,12.1562557392103,0.629191919191919,23.6824242424242,16,5,40,11
"Bing","CNRM-ESM2-1","SSP1","2085",89,110,126,2.68686868686869,0.595959595959596,12.2198025711662,0.245353535353535,24.4192929292929,21,7,48,16
"Bing","EC-Earth3-Veg-LR","SSP1","2085",85,108,125,2.43434343434343,0.575757575757576,12.2474632690542,0.403737373737374,24.4222222222222,17,5,47,12
